LECROYMAUI,0,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,23-Feb-2022 15:53:23,0                 
Time,Ampl
-0.100002,-2.9634332e-05
-0.1,-4.793789e-05
-0.099998,-2.2225749e-05
-0.099996,-2.3097347e-05
-0.099994,-2.614794e-05
-0.099992,-2.9198533e-05
-0.09999,-2.8326935e-05
-0.099988,-2.7891136e-05
-0.099986,-2.6583739e-05
-0.099984,-3.3120724e-05
-0.099982,-1.1766573e-05
-0.09998,-2.614794e-05
-0.099978,-3.3556523e-05
-0.099976,-3.3992322e-05
-0.099974,-2.3968945e-05
-0.099972,-2.0918352e-05
-0.09997,-2.178995e-05
-0.099968,-3.1377528e-05
-0.099966,-2.4404744e-05
-0.099964,-2.2225749e-05
-0.099962,-3.3556523e-05
-0.09996,-3.1377528e-05
-0.099958,-1.6124563e-05
-0.099956,-3.4428121e-05
-0.099954,-3.5299719e-05
-0.099952,-3.3992322e-05
-0.09995,-3.4428121e-05
-0.099948,-2.6583739e-05
-0.099946,-2.2225749e-05
-0.099944,-3.1377528e-05
-0.099942,-3.2684925e-05
-0.09994,-2.4404744e-05
-0.099938,-2.178995e-05
-0.099936,-2.5712141e-05
-0.099934,-3.1813327e-05
-0.099932,-3.0941729e-05
-0.09993,-2.3097347e-05
-0.099928,-2.2661548e-05
-0.099926,-3.3120724e-05
-0.099924,-2.6583739e-05
-0.099922,-3.922191e-05
-0.09992,-5.1424282e-05
-0.099918,-6.0140262e-05
-0.099916,-6.3626654e-05
-0.099914,-6.4934051e-05
-0.099912,-8.4545006e-05
-0.09991,-0.000102412765
-0.099908,-0.000100669569
-0.099906,-0.000115486735
-0.099904,-0.000146428464
-0.099902,-0.000156451841
-0.0999,-0.00018739357
-0.099898,-0.000208747721
-0.099896,-0.000220950093
-0.099894,-0.000254506616
-0.099892,-0.000263658395
-0.09989,-0.000282833551
-0.099888,-0.000307674094
-0.099886,-0.000323362858
-0.099884,-0.00034428121
-0.099882,-0.000364763763
-0.09988,-0.000402242477
-0.099878,-0.000403114075
-0.099876,-0.000426211422
-0.099874,-0.000444950779
-0.099872,-0.000458460548
-0.09987,-0.000464125935
-0.099868,-0.000492017071
-0.099866,-0.000516857614
-0.099864,-0.000516857614
-0.099862,-0.000537340167
-0.09986,-0.000553028931
-0.099858,-0.000576126278
-0.099856,-0.00057961267
-0.099854,-0.000586149655
-0.099852,-0.000617527183
-0.09985,-0.000615348188
-0.099848,-0.000641060329
-0.099846,-0.000645854118
-0.099844,-0.000652826902
-0.099842,-0.000678539043
-0.09984,-0.000685947626
-0.099838,-0.000688126621
-0.099836,-0.000711223968
-0.099834,-0.000708609174
-0.099832,-0.000711223968
-0.09983,-0.000709044973
-0.099828,-0.000719504149
-0.099826,-0.000727348531
-0.099824,-0.000720375747
-0.099822,-0.000725605335
-0.09982,-0.000733885516
-0.099818,-0.000718196752
-0.099816,-0.000734321315
-0.099814,-0.000730399124
-0.099812,-0.000733885516
-0.09981,-0.000726912732
-0.099808,-0.000742601496
-0.099806,-0.0007408583
-0.099804,-0.000734321315
-0.099802,-0.000747831084
-0.0998,-0.00074521629
-0.099798,-0.000742601496
-0.099796,-0.000746959486
-0.099794,-0.000743908893
-0.099792,-0.000746959486
-0.09979,-0.000756547064
-0.099788,-0.000761340853
-0.099786,-0.00075393227
-0.099784,-0.000771800029
-0.099782,-0.000767877838
-0.09978,-0.000760033456
-0.099778,-0.000780516009
-0.099776,-0.000772671627
-0.099774,-0.000786617195
-0.099772,-0.000788360391
-0.09977,-0.000793589979
-0.099768,-0.000811021939
-0.099766,-0.000821916914
-0.099764,-0.000815379929
-0.099762,-0.000845885859
-0.09976,-0.000838477276
-0.099758,-0.00085852403
-0.099756,-0.000870290603
-0.099754,-0.000876827588
-0.099752,-0.000907769317
-0.09975,-0.000909076714
-0.099748,-0.000910384111
-0.099746,-0.000945248031
-0.099744,-0.000934788855
-0.099742,-0.000958322001
-0.09974,-0.000967037981
-0.099738,-0.000983162544
-0.099736,-0.000994493318
-0.099734,-0.001022384454
-0.099732,-0.001044174404
-0.09973,-0.001049839791
-0.099728,-0.001064221158
-0.099726,-0.001096034485
-0.099724,-0.001107801058
-0.099722,-0.001129591008
-0.09972,-0.001150945159
-0.099718,-0.001160968536
-0.099716,-0.001186244878
-0.099714,-0.001204112637
-0.099712,-0.001224159391
-0.09971,-0.001248128336
-0.099708,-0.001277326869
